Episode 269, Total Reward: 182.0, Epsilon: 0.234
Episode 270, Total Reward: 180.5, Epsilon: 0.233
Episode 271, Total Reward: 193.5, Epsilon: 0.231
Episode 272, Total Reward: 169.5, Epsilon: 0.230
Episode 273, Total Reward: 187.5, Epsilon: 0.229
Episode 274, Total Reward: 189.5, Epsilon: 0.228
Episode 275, Total Reward: 184.5, Epsilon: 0.227
Episode 276, Total Reward: 187.0, Epsilon: 0.226
Episode 277, Total Reward: 180.5, Epsilon: 0.225
Episode 278, Total Reward: 183.0, Epsilon: 0.223
Episode 279, Total Reward: 195.0, Epsilon: 0.222
Episode 280, Total Reward: 181.5, Epsilon: 0.221
Episode 281, Total Reward: 193.5, Epsilon: 0.220
Episode 282, Total Reward: 188.0, Epsilon: 0.219
Episode 283, Total Reward: 175.0, Epsilon: 0.218
Episode 284, Total Reward: 177.0, Epsilon: 0.217
Episode 285, Total Reward: 165.0, Epsilon: 0.216
Episode 286, Total Reward: 178.0, Epsilon: 0.215
Episode 287, Total Reward: 172.5, Epsilon: 0.214
Episode 288, Total Reward: 194.0, Epsilon: 0.212
Episode 289, Total Reward: 184.5, Epsilon: 0.211
Episode 290, Total Reward: 172.5, Epsilon: 0.210
Episode 291, Total Reward: 189.5, Epsilon: 0.209
Episode 292, Total Reward: 194.5, Epsilon: 0.208
Episode 293, Total Reward: 193.5, Epsilon: 0.207
Episode 294, Total Reward: 157.5, Epsilon: 0.206
Episode 295, Total Reward: 196, Epsilon: 0.205
Episode 296, Total Reward: 192.0, Epsilon: 0.204
Episode 297, Total Reward: 196, Epsilon: 0.203
Episode 298, Total Reward: 196, Epsilon: 0.202
Episode 299, Total Reward: 195.0, Epsilon: 0.201
Episode 300, Total Reward: 143.5, Epsilon: 0.200
Episode 301, Total Reward: 168.0, Epsilon: 0.199
Episode 302, Total Reward: 192.5, Epsilon: 0.198
Episode 303, Total Reward: 191, Epsilon: 0.197
Episode 304, Total Reward: 146.0, Epsilon: 0.196
Episode 305, Total Reward: 195.0, Epsilon: 0.195
Episode 306, Total Reward: 180.0, Epsilon: 0.194
Episode 307, Total Reward: 188.0, Epsilon: 0.193
Episode 308, Total Reward: 189.0, Epsilon: 0.192
Episode 309, Total Reward: 134.0, Epsilon: 0.191
Episode 310, Total Reward: 195.0, Epsilon: 0.190
Episode 311, Total Reward: 147.0, Epsilon: 0.189
Episode 312, Total Reward: 184.5, Epsilon: 0.188
Episode 313, Total Reward: 194.5, Epsilon: 0.187
Episode 314, Total Reward: 196, Epsilon: 0.187
Episode 315, Total Reward: 183.0, Epsilon: 0.186
Episode 316, Total Reward: 126.0, Epsilon: 0.185
Episode 317, Total Reward: 191, Epsilon: 0.184
Episode 318, Total Reward: 181.5, Epsilon: 0.183
Episode 319, Total Reward: 168.0, Epsilon: 0.182
Episode 320, Total Reward: 57.0, Epsilon: 0.181
Episode 321, Total Reward: 185.5, Epsilon: 0.180
Episode 322, Total Reward: 193.5, Epsilon: 0.179
Episode 323, Total Reward: 172.5, Epsilon: 0.178
Episode 324, Total Reward: 196, Epsilon: 0.177
Episode 325, Total Reward: 196, Epsilon: 0.176
Episode 326, Total Reward: 193.5, Epsilon: 0.176
Episode 327, Total Reward: 192.0, Epsilon: 0.175
Episode 328, Total Reward: 172.5, Epsilon: 0.174
Episode 329, Total Reward: 194.5, Epsilon: 0.173
Episode 330, Total Reward: 193.5, Epsilon: 0.172
Episode 331, Total Reward: 194.5, Epsilon: 0.171
Episode 332, Total Reward: 196, Epsilon: 0.170
Episode 333, Total Reward: 183.5, Epsilon: 0.170
Episode 334, Total Reward: 193.5, Epsilon: 0.169
Episode 335, Total Reward: 180.5, Epsilon: 0.168
Episode 336, Total Reward: 193.5, Epsilon: 0.167
Episode 337, Total Reward: 193.5, Epsilon: 0.166
Episode 338, Total Reward: 177.0, Epsilon: 0.165
Episode 339, Total Reward: 196, Epsilon: 0.165
Episode 340, Total Reward: 119.0, Epsilon: 0.164
Episode 341, Total Reward: 111.5, Epsilon: 0.163
Episode 342, Total Reward: 144.5, Epsilon: 0.162
Episode 343, Total Reward: 191.0, Epsilon: 0.161
Episode 344, Total Reward: 191, Epsilon: 0.160
Episode 345, Total Reward: 191.0, Epsilon: 0.160
Episode 346, Total Reward: 183.0, Epsilon: 0.159
Episode 347, Total Reward: 188.0, Epsilon: 0.158
Episode 348, Total Reward: 193.5, Epsilon: 0.157
Episode 349, Total Reward: 182.5, Epsilon: 0.156
Episode 350, Total Reward: 135.5, Epsilon: 0.156
Episode 351, Total Reward: 184.5, Epsilon: 0.155
Episode 352, Total Reward: 181.5, Epsilon: 0.154
Episode 353, Total Reward: 185.5, Epsilon: 0.153
Episode 354, Total Reward: 185.5, Epsilon: 0.153
Episode 355, Total Reward: 193.5, Epsilon: 0.152
Episode 356, Total Reward: 185.5, Epsilon: 0.151
Episode 357, Total Reward: 194.0, Epsilon: 0.150
Episode 358, Total Reward: 194.0, Epsilon: 0.150
Episode 359, Total Reward: 191, Epsilon: 0.149
Episode 360, Total Reward: 196, Epsilon: 0.148
Episode 361, Total Reward: 191.0, Epsilon: 0.147
Episode 362, Total Reward: 33.5, Epsilon: 0.147
Episode 363, Total Reward: 196, Epsilon: 0.146
Episode 364, Total Reward: 196, Epsilon: 0.145
Episode 365, Total Reward: 183.0, Epsilon: 0.144
Episode 366, Total Reward: 192.5, Epsilon: 0.144
Episode 367, Total Reward: 192.5, Epsilon: 0.143
Episode 368, Total Reward: 183.0, Epsilon: 0.142
Episode 369, Total Reward: 194.5, Epsilon: 0.142
Episode 370, Total Reward: 195.5, Epsilon: 0.141
Episode 371, Total Reward: 193.5, Epsilon: 0.140
Episode 372, Total Reward: 190.0, Epsilon: 0.139
Episode 373, Total Reward: 192.0, Epsilon: 0.139
Episode 374, Total Reward: 180.0, Epsilon: 0.138
Episode 375, Total Reward: 194.5, Epsilon: 0.137
Episode 376, Total Reward: 130.5, Epsilon: 0.137
Episode 377, Total Reward: 196, Epsilon: 0.136
Episode 378, Total Reward: 193.5, Epsilon: 0.135
Episode 379, Total Reward: 191, Epsilon: 0.135
Episode 380, Total Reward: 192.5, Epsilon: 0.134
Episode 381, Total Reward: 184.0, Epsilon: 0.133
Episode 382, Total Reward: 162.0, Epsilon: 0.133
Episode 383, Total Reward: 181.5, Epsilon: 0.132
Episode 384, Total Reward: 192.0, Epsilon: 0.131
Episode 385, Total Reward: 195.5, Epsilon: 0.131
Episode 386, Total Reward: 189.5, Epsilon: 0.130
Episode 387, Total Reward: 194.5, Epsilon: 0.129
Episode 388, Total Reward: 114.5, Epsilon: 0.129
Episode 389, Total Reward: 193.5, Epsilon: 0.128
Episode 390, Total Reward: 177.5, Epsilon: 0.127
Episode 391, Total Reward: 191, Epsilon: 0.127
Episode 392, Total Reward: 196, Epsilon: 0.126
Episode 393, Total Reward: 185.0, Epsilon: 0.126
Episode 394, Total Reward: 127.0, Epsilon: 0.125
Episode 395, Total Reward: 183.0, Epsilon: 0.124
Episode 396, Total Reward: 193.5, Epsilon: 0.124
Episode 397, Total Reward: 172.5, Epsilon: 0.123
Episode 398, Total Reward: 193.5, Epsilon: 0.122
Episode 399, Total Reward: 195.5, Epsilon: 0.122
Episode 400, Total Reward: 192.0, Epsilon: 0.121
Episode 401, Total Reward: 160.5, Epsilon: 0.121
Episode 402, Total Reward: 172.5, Epsilon: 0.120
Episode 403, Total Reward: 193.5, Epsilon: 0.119
Episode 404, Total Reward: 193.5, Epsilon: 0.119
Episode 405, Total Reward: 196, Epsilon: 0.118
Episode 406, Total Reward: 131.0, Epsilon: 0.118
Episode 407, Total Reward: 183.0, Epsilon: 0.117
Episode 408, Total Reward: 180.5, Epsilon: 0.116
Episode 409, Total Reward: 127.0, Epsilon: 0.116
Episode 410, Total Reward: 191.5, Epsilon: 0.115
Episode 411, Total Reward: 193.5, Epsilon: 0.115
Episode 412, Total Reward: 195.5, Epsilon: 0.114
Episode 413, Total Reward: -7.0, Epsilon: 0.114
