,Behaviour,Round,total100,total90,total75,total50
71,ZONE_VORONOI,7,0.04679972470750172,0.04611149346180317,0.02752924982794219,0.01995870612525809
72,WANDERING,8,0.39986235375086027,0.3991741225051617,0.1520991052993806,0.0956641431520991
73,GREEDY,8,0.10598761183757742,0.10529938059187888,0.03991741225051618,0.026841018582243633
74,FRONTIER,8,0.03234686854783207,0.031658637302133516,0.02477632484514797,0.017894012388162423
75,GREEDY_FRONTIER,8,0.03372333103922918,0.03303509979353063,0.02752924982794219,0.02202339986235375
76,FRONTIER_ASSIST,8,0.03234686854783207,0.031658637302133516,0.02477632484514797,0.017894012388162423
77,SCOUT,8,0.03922918100481762,0.038540949759119064,0.029593943565037854,0.01995870612525809
78,FRONTIER_CENTRAL_GREEDY,8,0.0364762560220234,0.035788024776324846,0.026841018582243633,0.018582243633860976
79,ZONE_SPLIT,8,0.04955264969029594,0.048864418444597386,0.028905712319339298,0.022711631108052306
80,ZONE_VORONOI,8,0.0440467997247075,0.043358568479008944,0.029593943565037854,0.019270474879559532
81,WANDERING,9,0.44322092222986925,0.4425326909841707,0.1486579490708878,0.09084652443220922
82,GREEDY,9,0.09497591190640055,0.09428768066070199,0.038540949759119064,0.02339986235375086
83,FRONTIER,9,0.03509979353062629,0.034411562284927734,0.02477632484514797,0.017894012388162423
84,GREEDY_FRONTIER,9,0.03509979353062629,0.034411562284927734,0.025464556090846524,0.02064693737095664
85,FRONTIER_ASSIST,9,0.03509979353062629,0.034411562284927734,0.02477632484514797,0.017894012388162423
86,SCOUT,9,0.0364762560220234,0.035788024776324846,0.028217481073640742,0.02064693737095664
87,FRONTIER_CENTRAL_GREEDY,9,0.034411562284927734,0.03372333103922918,0.026841018582243633,0.019270474879559532
88,ZONE_SPLIT,9,0.04542326221610461,0.044735030970406056,0.030282174810736407,0.02339986235375086
89,ZONE_VORONOI,9,0.047487955953200274,0.04679972470750172,0.028217481073640742,0.019270474879559532
90,WANDERING,10,0.5581555402615279,0.5574673090158293,0.17136958017894013,0.088093599449415
91,GREEDY,10,0.1348933241569167,0.13420509291121818,0.0440467997247075,0.03303509979353063
92,FRONTIER,10,0.03372333103922918,0.03303509979353063,0.025464556090846524,0.01995870612525809
93,GREEDY_FRONTIER,10,0.0440467997247075,0.043358568479008944,0.031658637302133516,0.022711631108052306
94,FRONTIER_ASSIST,10,0.03372333103922918,0.03303509979353063,0.025464556090846524,0.01995870612525809
95,SCOUT,10,0.038540949759119064,0.03785271851342051,0.029593943565037854,0.021335168616655197
96,FRONTIER_CENTRAL_GREEDY,10,0.031658637302133516,0.030970406056434963,0.02477632484514797,0.019270474879559532
97,ZONE_SPLIT,10,0.03922918100481762,0.038540949759119064,0.028905712319339298,0.02202339986235375
98,ZONE_VORONOI,10,0.05024088093599449,0.04955264969029594,0.025464556090846524,0.01995870612525809
99,WANDERING,11,0.37439779766001374,0.3737095664143152,0.1445285615966965,0.06675843083275981
100,GREEDY,11,0.03922918100481762,0.038540949759119064,0.028217481073640742,0.01995870612525809
101,FRONTIER,11,0.03509979353062629,0.034411562284927734,0.024088093599449415,0.018582243633860976
102,GREEDY_FRONTIER,11,0.035788024776324846,0.03509979353062629,0.02615278733654508,0.01995870612525809
103,FRONTIER_ASSIST,11,0.03509979353062629,0.034411562284927734,0.024088093599449415,0.018582243633860976
104,SCOUT,11,0.03716448726772195,0.0364762560220234,0.028217481073640742,0.021335168616655197
105,FRONTIER_CENTRAL_GREEDY,11,0.03372333103922918,0.03303509979353063,0.02477632484514797,0.018582243633860976
106,ZONE_SPLIT,11,0.07157604955264969,0.07088781830695114,0.028905712319339298,0.022711631108052306
107,ZONE_VORONOI,11,0.03509979353062629,0.034411562284927734,0.025464556090846524,0.019270474879559532
108,WANDERING,12,0.4542326221610461,0.45354439091534754,0.1899518238128011,0.10116999311768754
109,GREEDY,12,0.07364074328974536,0.0729525120440468,0.047487955953200274,0.025464556090846524
110,FRONTIER,12,0.03303509979353063,0.03234686854783207,0.024088093599449415,0.017894012388162423
111,GREEDY_FRONTIER,12,0.044735030970406056,0.0440467997247075,0.026841018582243633,0.02064693737095664
112,FRONTIER_ASSIST,12,0.03303509979353063,0.03234686854783207,0.024088093599449415,0.017894012388162423
