num,layout,Method,Coverage 50%,Coverage 75%,Coverage 90%,Coverage 100%
10,MAZE,ZONE_VORONOI,100.00%,100.00%,100.00%,100.00%
10,O_SHAPE,WANDERING,100.00%,100.00%,98.85%,76.15%
10,O_SHAPE,GREEDY,100.00%,100.00%,99.62%,96.54%
10,O_SHAPE,FRONTIER,100.00%,100.00%,100.00%,98.46%
10,O_SHAPE,GREEDY_FRONTIER,100.00%,100.00%,100.00%,98.08%
10,O_SHAPE,FRONTIER_ASSIST,100.00%,100.00%,100.00%,98.85%
10,O_SHAPE,SCOUT,100.00%,100.00%,100.00%,98.85%
10,O_SHAPE,FRONTIER_CENTRAL_GREEDY,100.00%,100.00%,100.00%,90.38%
10,O_SHAPE,ZONE_SPLIT,100.00%,100.00%,99.23%,89.23%
10,O_SHAPE,ZONE_VORONOI,100.00%,100.00%,100.00%,100.00%
10,U_SHAPE,WANDERING,100.00%,100.00%,98.93%,76.79%
10,U_SHAPE,GREEDY,100.00%,100.00%,99.64%,96.79%
10,U_SHAPE,FRONTIER,100.00%,100.00%,100.00%,98.57%
10,U_SHAPE,GREEDY_FRONTIER,100.00%,100.00%,100.00%,98.21%
10,U_SHAPE,FRONTIER_ASSIST,100.00%,100.00%,100.00%,98.93%
10,U_SHAPE,SCOUT,100.00%,100.00%,100.00%,98.93%
10,U_SHAPE,FRONTIER_CENTRAL_GREEDY,100.00%,100.00%,100.00%,91.07%
10,U_SHAPE,ZONE_SPLIT,100.00%,100.00%,99.29%,90.00%
10,U_SHAPE,ZONE_VORONOI,100.00%,100.00%,100.00%,100.00%
10,I_SHAPE,WANDERING,100.00%,100.00%,99.00%,78.00%
10,I_SHAPE,GREEDY,100.00%,100.00%,99.67%,97.00%
10,I_SHAPE,FRONTIER,100.00%,100.00%,100.00%,98.67%
10,I_SHAPE,GREEDY_FRONTIER,100.00%,100.00%,100.00%,98.33%
10,I_SHAPE,FRONTIER_ASSIST,100.00%,100.00%,100.00%,99.00%
10,I_SHAPE,SCOUT,100.00%,100.00%,100.00%,99.00%
10,I_SHAPE,FRONTIER_CENTRAL_GREEDY,100.00%,100.00%,100.00%,91.33%
10,I_SHAPE,ZONE_SPLIT,100.00%,100.00%,99.33%,90.33%
10,I_SHAPE,ZONE_VORONOI,100.00%,100.00%,100.00%,100.00%
10,ROOM,WANDERING,100.00%,100.00%,99.06%,73.44%
10,ROOM,GREEDY,100.00%,100.00%,99.69%,96.88%
